"","Close","Date"
"1",3882.590088,"2017-09-13"
"2",3154.949951,"2017-09-14"
"3",3637.52002,"2017-09-15"
"4",3625.040039,"2017-09-16"
"5",3582.879883,"2017-09-17"
"6",4065.199951,"2017-09-18"
"7",3924.969971,"2017-09-19"
"8",3905.949951,"2017-09-20"
"9",3631.040039,"2017-09-21"
"10",3630.699951,"2017-09-22"
"11",3792.399902,"2017-09-23"
"12",3682.840088,"2017-09-24"
"13",3926.070068,"2017-09-25"
"14",3892.350098,"2017-09-26"
"15",4200.669922,"2017-09-27"
"16",4174.72998,"2017-09-28"
"17",4163.069824,"2017-09-29"
"18",4338.709961,"2017-09-30"
"19",4403.740234,"2017-10-01"
"20",4409.319824,"2017-10-02"
"21",4317.47998,"2017-10-03"
"22",4229.359863,"2017-10-04"
"23",4328.410156,"2017-10-05"
"24",4370.810059,"2017-10-06"
"25",4426.890137,"2017-10-07"
"26",4610.47998,"2017-10-08"
"27",4772.02002,"2017-10-09"
"28",4781.990234,"2017-10-10"
"29",4826.47998,"2017-10-11"
"30",5446.910156,"2017-10-12"
"31",5647.209961,"2017-10-13"
"32",5831.790039,"2017-10-14"
"33",5678.189941,"2017-10-15"
"34",5725.589844,"2017-10-16"
"35",5605.509766,"2017-10-17"
"36",5590.689941,"2017-10-18"
"37",5708.52002,"2017-10-19"
"38",6011.450195,"2017-10-20"
"39",6031.600098,"2017-10-21"
"40",6008.419922,"2017-10-22"
"41",5930.319824,"2017-10-23"
"42",5526.640137,"2017-10-24"
"43",5750.799805,"2017-10-25"
"44",5904.830078,"2017-10-26"
"45",5780.899902,"2017-10-27"
"46",5753.089844,"2017-10-28"
"47",6153.850098,"2017-10-29"
"48",6130.529785,"2017-10-30"
"49",6468.399902,"2017-10-31"
"50",6767.310059,"2017-11-01"
"51",7078.5,"2017-11-02"
"52",7207.759766,"2017-11-03"
"53",7379.950195,"2017-11-04"
"54",7407.410156,"2017-11-05"
"55",7022.759766,"2017-11-06"
"56",7144.379883,"2017-11-07"
"57",7459.689941,"2017-11-08"
"58",7143.580078,"2017-11-09"
"59",6618.140137,"2017-11-10"
"60",6357.600098,"2017-11-11"
"61",5950.069824,"2017-11-12"
"62",6559.490234,"2017-11-13"
"63",6635.75,"2017-11-14"
"64",7315.540039,"2017-11-15"
"65",7871.689941,"2017-11-16"
"66",7708.990234,"2017-11-17"
"67",7790.149902,"2017-11-18"
"68",8036.490234,"2017-11-19"
"69",8200.639648,"2017-11-20"
"70",8071.259766,"2017-11-21"
"71",8253.549805,"2017-11-22"
"72",8038.77002,"2017-11-23"
"73",8253.69043,"2017-11-24"
"74",8790.919922,"2017-11-25"
"75",9330.549805,"2017-11-26"
"76",9818.349609,"2017-11-27"
"77",10058.799805,"2017-11-28"
"78",9888.610352,"2017-11-29"
"79",10233.599609,"2017-11-30"
"80",10975.599609,"2017-12-01"
"81",11074.599609,"2017-12-02"
"82",11323.200195,"2017-12-03"
"83",11657.200195,"2017-12-04"
"84",11916.700195,"2017-12-05"
"85",14291.5,"2017-12-06"
"86",17899.699219,"2017-12-07"
"87",16569.400391,"2017-12-08"
"88",15178.200195,"2017-12-09"
